LATITUDE,LONGITUDE,FIRE_SIZE
37.94027778,-120.12166667,2.0
37.815,-119.875,0.01
37.82638889,-119.8675,0.6
37.86027778,-119.87027778,0.01
37.83611111,-119.99305556,0.5
37.77888889,-120.15555556,87.0
37.83944444,-120.13527778,0.1
37.71916667,-119.83611111,0.1
37.84,-119.9275,0.1
37.86972222,-119.87,0.1
37.81305556,-120.06527778,5.5
37.84861111,-119.99972222,0.1
37.86583333,-119.87,0.1
37.54222222,-119.80694444,0.1
37.72416667,-119.99805556,3.5
37.81444444,-119.87333333,0.1
37.88361111,-119.85416667,0.1
37.825,-120.10194444,0.1
37.82583333,-120.10111111,0.1
37.66944444,-119.84333333,0.1
37.58972222,-119.85694444,3.7
37.60138889,-119.84916667,0.01
37.49055556,-119.62472222,0.1
37.60111111,-119.84333333,0.8
37.81194444,-120.13666667,0.1
37.82083333,-119.8875,0.5
37.74333333,-120.02833333,0.1
37.75611111,-120.07583333,0.1
37.84805556,-120.03055556,13.0
37.75638889,-120.07916667,0.1
37.77027778,-120.10055556,25.0
37.54111111,-119.8675,0.2
37.42583333,-119.63305556,0.1
37.46388889,-119.72972222,0.01
37.83416667,-120.0925,0.5
37.87833333,-119.85388889,0.01
37.74222222,-119.93166667,0.8
37.82194444,-120.03972222,0.33
37.86611111,-119.86777778,0.1
37.77694444,-120.05944444,0.1
37.50694444,-119.78944444,0.75
37.54388889,-119.81361111,0.1
37.5625,-119.86861111,0.1
37.58666667,-119.88611111,1.5
37.49111111,-119.62638889,0.1
37.44472222,-119.64972222,0.1
37.50833333,-119.70277778,0.1
37.425,-119.66111111,0.12
37.41611111,-119.62527778,0.1
37.44722222,-119.63777778,0.5
37.45611111,-119.67027778,0.2
37.43916667,-119.64111111,2.25
37.57388889,-119.85444444,0.1
37.5725,-119.87111111,0.25
37.59694444,-119.89722222,0.1
37.56472222,-119.87222222,0.5
37.41,-119.68111111,0.1
37.41944444,-119.69166667,0.1
37.58472222,-119.86805556,0.25
37.42611111,-119.68055556,0.25
37.78388889,-119.90138889,1.0
37.79527778,-119.99194444,0.1
37.79805556,-119.99777778,0.1
37.78694444,-120.00416667,0.1
37.79805556,-119.98611111,0.1
37.72861111,-119.83666667,0.1
37.71555556,-119.87,0.1
37.62861111,-119.73055556,2.0
37.59944444,-119.77666667,0.1
37.48638889,-119.63555556,0.1
37.57222222,-119.74166667,0.5
37.58,-119.77972222,0.1
37.46,-119.62472222,0.1
37.47555556,-119.76694444,0.1
37.72333333,-119.93916667,0.25
37.91805556,-119.95027778,0.1
37.41944444,-119.69027778,0.1
37.66222222,-119.84777778,0.2
37.53194444,-119.86305556,2.0
37.57833333,-119.88222222,0.1
37.54777778,-119.81361111,0.1
37.43916667,-119.67722222,600.0
37.41555556,-119.68027778,0.5
37.48722222,-119.75388889,2200.0
37.45388889,-119.65944444,105.0
37.41388889,-119.67111111,0.1
37.49083333,-119.625,0.1
37.87972222,-119.85694444,0.1
37.82083333,-120.03333333,0.1
37.92861111,-119.99166667,0.5
37.82888889,-119.85583333,0.1
37.81388889,-119.9425,0.1
37.83888889,-120.04472222,0.1
37.84222222,-119.86722222,0.2
37.4925,-119.62611111,0.1
37.49055556,-119.62416667,0.1
37.715,-119.92,0.25
37.93138889,-119.91333333,2.0
37.49138889,-119.67055556,3.3
37.895,-119.91805556,2889.0
37.5675,-119.99694444,34091.0
37.83,-119.93416667,0.1
37.73888889,-120.08694444,1.0
37.46388889,-119.75694444,0.1
37.87305556,-119.89972222,0.01
37.88,-119.86027778,0.01
37.87833333,-119.85611111,0.1
37.80055556,-119.88083333,0.01
37.64888889,-119.72027778,5.0
37.945,-120.2075,14.0
37.57027778,-119.84777778,0.01
37.86833333,-119.87,1.0
37.78027778,-119.87333333,0.25
37.81611111,-120.16861111,0.25
37.75722222,-120.08111111,1.0
37.69527778,-120.04861111,4.0
37.52805556,-119.82638889,0.01
37.58833333,-119.85166667,30.0
37.545,-119.90666667,8.0
37.47833333,-119.73833333,0.1
37.51166667,-119.78666667,0.5
37.47833333,-119.73166667,0.5
37.56,-119.94333333,25.0
37.65333333,-119.885,0.1
37.53,-119.72166667,0.2
37.625,-119.78666667,50.0
37.55166667,-119.70333333,5.0
37.52833333,-119.91333333,200.0
37.58833333,-119.90666667,1.0
37.58666667,-119.87,0.3
37.40833333,-119.62166667,0.1
37.42833333,-119.64166667,0.1
37.645,-119.72166667,0.5
37.79,-119.9,0.2
37.84111111,-120.12333333,0.1
37.82166667,-119.96333333,0.1
37.88,-119.945,0.1
37.89333333,-119.89,0.3
37.90833333,-119.945,0.5
37.90833333,-119.89,0.1
37.90833333,-119.89,0.1
37.90833333,-119.90833333,7.0
37.865,-119.87166667,0.2
37.79166667,-119.90833333,0.1
37.93666667,-119.945,0.1
37.82166667,-119.85333333,1.0
37.76166667,-119.92,0.1
37.85,-119.835,0.1
