LATITUDE,LONGITUDE,FIRE_SIZE
38.70027778,-119.84055556,0.1
38.76388889,-119.85388889,0.1
38.65861111,-119.75138889,0.25
38.67055556,-119.76722222,0.1
38.76583333,-119.88777778,0.25
38.705,-119.82388889,0.25
38.69472222,-119.79333333,0.1
38.74694444,-119.84166667,0.3
38.64444444,-119.78833333,0.1
38.64888889,-119.77833333,0.25
38.70722222,-119.79333333,0.1
38.65305556,-119.79833333,0.1
38.64388889,-119.82694444,0.1
38.62861111,-119.78777778,0.25
38.64583333,-119.79916667,0.25
38.65055556,-119.73611111,0.25
38.67444444,-119.76555556,0.25
38.75,-119.81388889,0.25
38.65388889,-119.72416667,0.1
38.70805556,-119.86583333,0.1
38.775,-119.82388889,0.25
38.77194444,-119.81388889,0.25
38.62638889,-119.71388889,0.25
38.70111111,-119.78583333,39.0
38.74861111,-119.81305556,0.5
38.78805556,-119.80166667,5.5
38.73027778,-119.79,0.1
38.60527778,-119.8475,0.1
38.66027778,-119.83083333,8.0
38.63138889,-119.73666667,8.0
38.69722222,-119.77361111,0.1
38.64333333,-119.79055556,0.1
38.66277778,-119.80805556,0.1
38.685,-119.78333333,0.1
38.64416667,-119.79444444,0.1
38.63777778,-119.79555556,0.1
38.62833333,-119.77444444,0.1
38.66555556,-119.73305556,0.1
38.715,-119.79,0.1
38.79166667,-119.78833333,0.1
38.63333333,-119.73,0.1
38.61666667,-119.80166667,0.1
38.6,-119.855,0.1
38.64166667,-119.72833333,0.1
38.75833333,-119.88333333,0.1
38.71166667,-119.855,0.1
38.71166667,-119.875,0.1
38.66666667,-119.83333333,0.1
38.63333333,-119.8,0.1
38.62833333,-119.80666667,0.1
38.625,-119.73,0.1
38.67333333,-119.73333333,0.1
38.61833333,-119.835,1.5
38.76166667,-119.855,0.1
38.66666667,-119.835,0.1
38.65,-119.86666667,0.1
38.71166667,-119.81666667,0.1
38.755,-119.87666667,0.1
38.67,-119.83166667,120.0
38.63166667,-119.73166667,0.1
38.71333333,-119.83666667,0.2
38.70833333,-119.8,0.1
38.685,-119.81833333,0.1
38.75,-119.79833333,0.1
38.725,-119.90166667,0.1
38.61166667,-119.79,0.1
38.63333333,-119.76666667,0.1
38.62,-119.84,0.1
38.775,-119.83333333,0.1
38.625,-119.86833333,0.2
38.62166667,-119.84,0.1
38.74166667,-119.83333333,0.2
38.67166667,-119.805,0.1
38.74166667,-119.81333333,0.1
38.62166667,-119.84333333,0.1
38.66666667,-119.755,0.1
38.63666667,-119.77,0.1
38.64166667,-119.72166667,0.1
38.775,-119.82,0.3
38.665,-119.80166667,0.1
38.70666667,-119.78833333,0.1
38.645,-119.81,0.1
38.73333333,-119.77833333,0.2
38.76833333,-119.81,0.1
38.76666667,-119.81,0.1
38.69,-119.81333333,0.1
38.685,-119.79833333,0.1
38.75166667,-119.87666667,0.1
38.73833333,-119.90333333,0.1
38.655,-119.84833333,0.1
38.72,-119.87833333,0.1
38.71166667,-119.88,0.1
38.75,-119.90833333,0.1
38.71333333,-119.83166667,0.1
38.7,-119.89166667,0.1
38.76333333,-119.885,0.1
38.675,-119.73333333,0.1
38.76333333,-119.90666667,0.1
38.655,-119.84833333,0.1
