strategy_combo,scenario_name,date,sim_start_hour,log_key,offset,cluster,year,routing_compute_seconds,sim_replay_seconds,delta_t,device,fire_size_cells,fire_size_percentage,total_distance_traveled,percentage_map_explored,routed
GaussianBudget500M_TOPGrowing,CALI_2021-CAANF-002044,20210616,20,pyrologix,11,199-74,2021,0.0,0.0,1,drone,1,9.489961992702219e-05,4930,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,HIDDEN__2021-CAANF-003478,20210913,5,pyrologix,1,201-81,2021,0.0,0.0,0,drone,1,9.489961992702219e-05,605,0.002562289738029599,True
GaussianBudget500M_TOPGrowing,HORSE__2021-CAANF-003639,20210928,2,pyrologix,12,199-74,2021,0.0,0.0,0,drone,1,9.489961992702219e-05,4930,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,Honey_2021-CACNF-002374,20210724,17,pyrologix,11,245-99,2021,0.0,0.0,0,drone,1,9.489961992702219e-05,4165,0.004270482896715999,True
GaussianBudget500M_TOPGrowing,Love_2021-CACNF-001437,20210523,17,pyrologix,12,245-99,2021,0.0,0.0,0,drone,1,9.489961992702219e-05,4695,0.004270482896715999,True
GaussianBudget500M_TOPGrowing,PLACERITA__2021-CAANF-002048,20210616,16,pyrologix,3,199-74,2021,0.0,0.0,0,drone,1,9.489961992702219e-05,1345,0.004460282136570043,True
GaussianBudget500M_TOPGrowing,SANTA_2021-CAANF-004490,20211230,20,pyrologix,7,199-74,2021,0.0,0.0,0,drone,1,9.489961992702219e-05,2840,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,SHOENING_2021-CAANF-004214,20211125,13,pyrologix,11,201-81,2021,0.0,0.0,1,drone,1,9.489961992702219e-05,4925,0.0037010851771538656,True
GaussianBudget500M_TOPGrowing,SOLEDAD_2021-CAANF-001926,20210609,18,pyrologix,9,199-74,2021,0.0,0.0,0,drone,1,9.489961992702219e-05,3580,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,TURNOUT_2021-CAANF-003853,20211017,16,pyrologix,7,201-81,2021,0.0,0.0,1,drone,1,9.489961992702219e-05,3370,0.0037010851771538656,True
