strategy_combo,scenario_name,date,sim_start_hour,log_key,offset,cluster,year,routing_compute_seconds,sim_replay_seconds,delta_t,device,fire_size_cells,fire_size_percentage,total_distance_traveled,percentage_map_explored,routed
GaussianBudget500M_TOPGrowing,ALISO_2022-CAANF-003283,20221007,0,pyrologix,4,201-81,2022,0.0,0.0,0,drone,1,9.489961992702219e-05,1795,0.0037010851771538656,True
GaussianBudget500M_TOPGrowing,DIVIDE__2022-CAANF-002093,20220706,23,pyrologix,7,199-74,2022,0.0,0.0,0,drone,1,9.489961992702219e-05,2840,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,DUNES_2022-CAINF-001495,20220717,13,pyrologix,11,118-81,2022,0.0,0.0,2,drone,1,9.489961992702219e-05,5300,0.0047449809963511095,True
GaussianBudget500M_TOPGrowing,LONGEST_2022-CABTU-015806,20220901,20,pyrologix,4,71-44,2022,0.0,0.0,0,drone,1,9.489961992702219e-05,1670,0.004365382516643021,True
GaussianBudget500M_TOPGrowing,Pleito_2022-CALPF-001219,20220612,19,pyrologix,4,191-61,2022,0.0,0.0,0,drone,1,9.489961992702219e-05,1725,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,SAND1_2022-CAANF-002095,20220706,3,pyrologix,7,199-74,2022,0.0,0.0,0,drone,1,9.489961992702219e-05,2840,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,SAND2_2022-CAANF-002314,20220721,21,pyrologix,7,199-74,2022,0.0,0.0,0,drone,1,9.489961992702219e-05,2940,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,TRAINING_2022-CAANF-000001,20220404,14,pyrologix,11,201-81,2022,0.0,0.0,1,drone,1,9.489961992702219e-05,4925,0.0037010851771538656,True
