fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
1-8_Jessen_2024-CALMU-004352,252,306,40.83525,-121.004341,12251.9,12.252,1
4-1_2024-CATCU-006043,556,307,38.204895,-120.161225,11259.0,11.259,1
5-1_2024-CAMMU-016051,677,333,37.207984,-119.568146,5266.5,5.267,1
5-2_2024-CAMMU-016053,684,341,37.16372,-119.46259,8585.5,8.586,1
5-2_2024-CASHU-009215,230,187,40.744212,-122.449008,10210.1,10.21,1
5-4_2024-CAMMU-016086,684,341,37.16372,-119.46259,8585.5,8.586,1
Ackerson_2024-CASTF-001399,602,326,37.845963,-119.831539,10466.4,10.466,1
Acorn_2024-CACNF-002683,1212,521,32.871338,-116.409115,2592.3,2.592,1
Acorn_2024-CASQF-001270,886,378,35.47448,-118.590555,2404.3,2.404,1
Airport_2024-CAKNF-009324,95,143,41.790746,-123.393017,40038.2,40.038,0
Alder_2024-CAANF-244447,1023,398,34.312246,-118.082041,10046.4,10.046,1
Alder_2024-CASHF-000370,185,172,41.093422,-122.763404,33509.6,33.51,0
Aliso_2024-CALPF-002588,926,259,34.882112,-119.784909,25168.0,25.168,1
Alpine_2024-CASTF-002246,564,314,38.150545,-120.062202,5710.3,5.71,1
Alpine_2024-CATNF-000884,450,320,39.153025,-120.292787,18560.5,18.561,1
Alray_2024-CABDF-015057,1030,454,34.356266,-117.468197,14967.8,14.968,1
Antelope_2024-CAPNF-000395,338,325,40.134443,-120.540633,18988.9,18.989,1
Apache_2024-CALPF-001757,948,289,34.752444,-119.412543,18663.6,18.664,1
Applegate_2024-CAMDF-000802,156,389,41.851648,-120.31021,5509.8,5.51,1
Archer_2024-CAANF-243524,987,363,34.560119,-118.532845,13915.7,13.916,1
Argentine_2024-CAPNF-000269,355,301,39.933691,-120.768975,10287.2,10.287,1
Arnot_2024-CASTF-001473,533,345,38.486367,-119.793377,22465.6,22.466,1
Ash_2024-CAMDF-000501,224,330,41.131617,-120.806092,20310.2,20.31,1
Ashpan_2024-CALNF-003573,266,259,40.606087,-121.508005,10866.4,10.866,1
Aspen_2024-CAINF-000889,607,383,37.921824,-119.182239,22310.4,22.31,1
Azalea_2024-CASRF-000964,76,100,41.842048,-123.960246,6992.6,6.993,1
Babbit_2024-CATNF-001465,405,346,39.600027,-120.116969,15803.2,15.803,1
Babcock_2024-CAPNF-000739,337,320,40.131964,-120.600945,24038.6,24.039,1
Back_Bone_2024-CANEU-015937,410,277,39.403921,-120.890256,8763.2,8.763,1
Badger_2024-CASNF-000935,682,375,37.251362,-119.090734,13488.7,13.489,1
Bailey_2024-CABDF-005862,1048,462,34.212642,-117.346611,3945.4,3.945,1
Bailey_2024-CASRF-000702,251,98,40.343244,-123.407826,3746.2,3.746,1
