fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
BOCA_2022-CATNF-000710,428,343,39.393976,-120.089789,9709.0,9.709,1
BOCA_2_2022-CATNF-001022,424,341,39.424338,-120.123243,8874.2,8.874,1
BORDER_2022-CAMDF-000651,173,286,41.470541,-121.47123,4903.0,4.903,1
BOTANICAL_2022-CALPF-002665,853,191,35.371592,-120.690623,2996.9,2.997,1
BOULDER_2022-CAINF-001582,624,389,37.78593,-119.073947,4411.3,4.411,1
BOUQUET_2022-CAANF-001564,988,378,34.580717,-118.369816,7924.5,7.925,1
BOX_2022-CAKNF-007027,120,155,41.607472,-123.170352,24202.8,24.203,1
BRADLY_2022-CABDF-009396,1034,454,34.321077,-117.460172,11658.2,11.658,1
BRAKE_2022-CAANF-001466,980,348,34.591823,-118.708782,1440.9,1.441,1
BRONCO_2022-CABDF-012134,1042,454,34.250692,-117.444155,6583.9,6.584,1
BROWN_2022-CALMU-006355,207,287,41.179841,-121.357645,16572.3,16.572,1
BROWN_2022-CASQF-002517,888,393,35.486517,-118.423451,15557.1,15.557,1
BRUSHY_2022-CASHF-000670,281,138,40.186465,-122.855253,6494.9,6.495,1
BRYANT_2022-CAANF-003714,1021,380,34.295112,-118.278739,4892.0,4.892,1
BULL_2022-CALPF-001028,900,209,35.002062,-120.383253,17092.5,17.092,1
BURRO_2022-CAANF-003334,1032,419,34.273172,-117.838839,7858.8,7.859,1
BUS_2022-CAANF-003703,985,350,34.551987,-118.676532,5504.1,5.504,1
BUTTE_2022-CAKNF-006557,123,244,41.801063,-122.117781,22299.6,22.3,1
BYPASS__2022-CABDF-002167,1044,455,34.234943,-117.42946,6467.2,6.467,1
Bark_Shanty_2022-CASRF-000110,140,119,41.345215,-123.524483,22322.3,22.322,1
Beaver_2022-CAPNF-001186,373,279,39.728394,-120.970487,3608.0,3.608,1
Beebe_2022-CASRF-000349,178,96,40.961867,-123.666459,11178.1,11.178,1
Bell__2022-CAPNF-001745,351,290,39.943489,-120.906325,1941.1,1.941,1
Big_Bar_2022-CASRF-000883,147,108,41.257287,-123.629264,9622.1,9.622,1
Bison_2022-CALPF-000531,896,233,35.088545,-120.13456,9609.4,9.609,1
Blue_2022-CASRF-000186,138,125,41.377608,-123.461252,28268.1,28.268,1
Blue_Jay_2022-CACNF-000342,1108,441,33.645772,-117.451887,9615.4,9.615,1
Boatman_2022-CASRF-000619,179,104,40.97382,-123.570678,17380.4,17.38,1
Boise_2022-CASRF-000411,180,97,40.947358,-123.648354,10706.8,10.707,1
Bosley_2022-CACNF-000078,1100,443,33.719897,-117.446379,8055.7,8.056,1
Bravo_2022-CASRF-000622,184,101,40.923447,-123.58906,13112.9,13.113,1
Bremer_2022-CASRF-000623,179,100,40.963585,-123.616938,13791.0,13.791,1
Bridge_2022-CALPF-001017,741,144,36.237564,-121.482781,3102.3,3.102,1
Bucks__2022-CAPNF-000761,350,276,39.920352,-121.069622,6810.2,6.81,1
Butterfly_2022-CAPNF-001669,340,284,40.024965,-121.006198,8476.6,8.477,1
Butterfly_2022-CAPNF-002295,343,286,40.003581,-120.974759,6334.3,6.334,1
Buzzard_2022-CATNF-001557,423,316,39.378303,-120.410769,11499.7,11.5,1
CABIN_2022-CAANF-003337,1025,433,34.361073,-117.703264,1259.7,1.26,1
CABLE_2022-CAAEU-020435,486,281,38.754971,-120.637852,10186.0,10.186,1
CACTUS__2022-CABDF-007448,1050,515,34.290888,-116.775263,2158.0,2.158,1
CAJON_2022-CABDF-009305,1043,454,34.241894,-117.442156,6193.7,6.194,1
CALLAHAN_2022-CAKNF-007153,162,186,41.325108,-122.673412,19085.9,19.086,1
CAMPGROUND_2022-CASQF-001266,892,400,35.465171,-118.338788,19438.6,19.439,1
CAMP_2022-CAANF-001705,1027,420,34.319,-117.838373,11956.9,11.957,1
CAMP_2022-CABDF-006949,1126,512,33.615204,-116.662849,10994.0,10.994,1
CANDY_2022-CACNF-000413,1113,442,33.603592,-117.431446,5680.7,5.681,1
CANNELL_2022-CASQF-001251,849,406,35.853589,-118.367609,18428.5,18.429,1
CANYON_2022-CABDF-014978,1028,448,34.362722,-117.536504,11957.3,11.957,1
CANYON_2022-CACNF-001665,1176,491,33.13677,-116.791871,3013.1,3.013,1
CANYON_2022-CALPF-002421,950,332,34.82251,-118.946141,4574.9,4.575,1
CAPRA_2022-CAANF-003323,1005,376,34.427719,-118.35523,5242.8,5.243,1
CARGO_2022-CAANF-001001,981,348,34.583063,-118.706619,1368.4,1.368,1
CARISO_2022-CACNF-000934,1107,444,33.66011,-117.421982,9817.7,9.818,1
CARISO_2022-CARRU-069541,1107,444,33.66011,-117.421982,9817.7,9.818,1
CARMEL_2022-CALPF-001234,730,139,36.321288,-121.565977,1707.8,1.708,1
CARMEN_2022-CAKNF-006432,164,187,41.310425,-122.655422,18215.4,18.215,1
CARSON_2022-CAAEU-016273,487,278,38.739636,-120.669011,9022.0,9.022,1
CASTILE_2022-CABDF-007822,1103,495,33.787929,-116.887264,8296.4,8.296,1
CASUSE__2022-CAMDF-000350,135,309,41.85156,-121.315968,24938.6,24.939,1
CAT_2022-CAANF-003131,1044,432,34.192155,-117.67542,2331.9,2.332,1
CAT_2022-CAENF-027328,513,301,38.565023,-120.34068,13209.1,13.209,1
CEDAR_2022-CAAEU-029099,487,278,38.739636,-120.669011,9022.0,9.022,1
CEDAR_2022-CALNF-005894,276,320,40.659606,-120.772916,13681.1,13.681,1
CEDAR_2022-CAMDF-000650,188,387,41.57025,-120.241901,27127.1,27.127,1
CEDAR_2022-CASHF-001071,202,109,40.790058,-123.438292,23687.8,23.688,1
CEDAR_2022-CASKU-007792,134,259,41.742479,-121.907234,30852.8,30.853,1
CHASE_2022-CACNF-001567,1083,431,33.847258,-117.607748,4297.5,4.297,1
CHERRY_2022-CAANF-001728,982,349,34.576287,-118.693733,2699.5,2.699,1
CHERRY_2022-CAKNF-007311,101,177,41.825233,-122.974775,27057.9,27.058,1
CHERRY_2022-CASKU-007616,118,189,41.709561,-122.779005,15025.1,15.025,1
CHERRY_2022-CASTF-000707,587,320,37.963573,-119.936418,13834.2,13.834,1
CHERRY__2022-CASQF-001669,752,375,36.640285,-118.926301,12051.9,12.052,1
CHILAO_RX_2022-CAANF-000476,1021,406,34.345111,-118.000574,14327.2,14.327,1
CHINA_2022-CASHF-000735,236,132,40.557131,-123.064725,8272.3,8.272,1
CHINA_2022-CATNF-000889,442,288,39.151645,-120.677505,7348.9,7.349,1
CHIPMUNK_2022-CASTF-001374,552,349,38.329659,-119.700065,31281.6,31.282,1
CHUTE_2022-CALNF-005052,271,247,40.53494,-121.631882,21500.2,21.5,1
CHUTE_2_2022-CALNF-005054,271,247,40.53494,-121.631882,21500.2,21.5,1
CIENAGA_2022-CABDF-013642,1064,514,34.165676,-116.759083,5331.8,5.332,1
CITY_2022-CAINF-001017,646,391,37.598116,-118.998779,4769.1,4.769,1
CITY_CREEK_2022-CABDF-000823,1058,475,34.148392,-117.187839,6812.7,6.813,1
CLARA_2022-CALAC-003782,995,369,34.501756,-118.451438,15782.7,15.783,1
CLEAR_2022-CASHF-000804,172,229,41.343992,-122.140633,4933.3,4.933,1
CLOUDLAND__2022-CABDF-011721,1050,468,34.206047,-117.278465,4385.3,4.385,1
CLOUD_2022-CABDF-002605,1049,467,34.213019,-117.291141,3400.5,3.4,1
COBBLESTONE_2022-CAENF-014019,467,313,38.990274,-120.326864,23419.3,23.419,1
COFFEE_2022-CASHF-000727,179,162,41.120046,-122.898543,44550.4,44.55,1
COLDWATER_2022-CABDF-010684,1053,468,34.179636,-117.272535,1798.0,1.798,1
COLD_2022-CABDF-010816,1033,444,34.311303,-117.569262,11707.4,11.707,1
COLD_2022-CAKNF-007065,113,151,41.657228,-123.240028,30757.5,30.757,1
COLD_2022-CASNF-001542,657,346,37.409393,-119.472736,16644.2,16.644,1
CONANT_2022-CASHF-000736,193,206,41.108045,-122.343356,4749.8,4.75,1
CONVICT_2022-CAINF-000856,650,404,37.589598,-118.844403,17268.0,17.268,1
COOK_2022-CABDF-005145,1059,475,34.139585,-117.185875,7421.6,7.422,1
CORRAL_2022-CALNF-005348,266,277,40.647861,-121.299792,8951.5,8.952,1
CORRAL_2022-CASQF-002025,827,427,36.087235,-118.186653,9558.9,9.559,1
CORRINE_2022-CAMMU-019359,681,337,37.181511,-119.514136,5227.1,5.227,1
COTTONWOOD_2022-CALPF-001352,961,326,34.714171,-118.986353,6892.1,6.892,1
COUGAR_2022-CASQF-001733,820,389,36.073911,-118.617631,24885.0,24.885,1
COVE_2022-CALNF-005200,276,320,40.659606,-120.772916,13681.1,13.681,1
COW_2022-CAANF-003324,1039,428,34.228611,-117.728317,5290.9,5.291,1
COYOTE_2022-CAANF-002380,967,343,34.695732,-118.790675,7810.2,7.81,1
CRAWFORD__2022-CASQF-001737,820,390,36.075896,-118.606703,25419.9,25.42,1
CREEK_2022-CABDF-002845,1051,475,34.210034,-117.201606,3981.9,3.982,1
CREEK_2022-CAHUU-007532,181,90,40.920842,-123.725975,5214.4,5.214,1
CREEK_2022-CAMDF-000679,185,386,41.594017,-120.262234,24125.3,24.125,1
CREEK_2022-CAORC-014704,1103,436,33.680543,-117.514862,3873.7,3.874,1
CREST_2022-CABDF-013612,1033,452,34.326169,-117.483597,12599.9,12.6,1
CROSSING__2022-CAANF-003539,1023,385,34.287232,-118.221086,2495.4,2.495,1
CROSSOVER_2022-CAANF-003068,985,351,34.553968,-118.665811,6157.4,6.157,1
CROSSOVER_2022-CALAC-137928,985,351,34.553968,-118.665811,6157.4,6.157,1
CURLY_2022-CAKNF-006994,96,143,41.782204,-123.389702,40441.6,40.442,1
Cabin_2022-CASRF-000836,170,116,41.081312,-123.46109,20687.8,20.688,1
Campbell_2022-CASRF-000616,186,100,40.903809,-123.594097,11987.1,11.987,1
Cap__2022-CASRF-000846,146,114,41.281197,-123.562863,14666.6,14.667,1
Cape_2022-CAPNF-001343,346,264,39.927462,-121.21848,1939.3,1.939,1
Castella_2022-CASHF-000669,184,214,41.204713,-122.278245,3194.9,3.195,1
Castle_2022-CASHF-000509,187,206,41.159559,-122.362014,6940.2,6.94,1
Cedar_2022-CASRF-000629,179,104,40.97382,-123.570678,17380.4,17.38,1
Cemetery_2022-CAPNF-000685,328,291,40.144563,-120.959788,10149.4,10.149,1
Charlie_2022-CASRF-000614,193,97,40.836353,-123.605947,11501.1,11.501,1
Christian_2022-CASRF-000504,185,98,40.907229,-123.620465,10019.5,10.02,1
Clio_2022-CAPNF-000517,380,311,39.739699,-120.585108,7401.9,7.402,1
Coach_2022-CALPF-002163,965,247,34.516576,-119.823957,11362.2,11.362,1
Coon_2022-CASRF-000562,191,105,40.873872,-123.520073,17757.6,17.758,1
Corral_2022-CASRF-000628,174,111,41.0344,-123.505973,19414.9,19.415,1
County_2022-CASRF-000676,234,93,40.475876,-123.519521,10126.0,10.126,1
