fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
RED_2021-CAINF-001804,643,401,37.644623,-118.89448,12235.5,12.236,1
REFUGE_2021-CAMDF-000609,198,360,41.423807,-120.530286,11453.1,11.453,1
RICE_2021-CAMDF-001543,206,328,41.282592,-120.881796,9637.7,9.638,1
ROUND_2021-CAMDF-000607,181,285,41.399278,-121.458825,3162.3,3.162,1
Rocky_2021-CACNF-001400,1214,510,32.834555,-116.521386,8881.7,8.882,1
Rubicon_2021-CAENF-028647,468,298,38.948605,-120.49402,13765.5,13.765,1
SANTA_2021-CAANF-004490,1012,370,34.354626,-118.404654,1103.5,1.103,1
SAPP_2021-CASTF-001710,536,324,38.415317,-120.021972,8486.1,8.486,1
SAW_2021-CAINF-001447,632,422,37.783007,-118.686166,32891.4,32.891,1
SCENIC_2021-CACDD-009987,1134,537,33.588264,-116.382223,8169.8,8.17,1
SKY_2021-CALNF-003531,330,250,40.033269,-121.424878,10205.5,10.206,1
SLEIGHVILLE_2021-CATNF-000722,400,269,39.472304,-121.009097,4361.3,4.361,1
SOUTH_2021-CAKNF-004388,170,164,41.202103,-122.903997,41890.5,41.89,1
SPRINGS_2021-CAANF-001067,1016,422,34.419438,-117.839515,14860.4,14.86,1
SPRUCE_2021-CABDF-012448,1100,510,33.841079,-116.733176,2889.0,2.889,1
STATE_2021-CAANF-004208,987,351,34.536444,-118.661499,7714.0,7.714,1
SUGAR_3_2021-CAMDF-000434,158,385,41.825478,-120.351653,3218.5,3.219,1
SUMMIT_2021-CATNF-001568,427,311,39.332612,-120.45687,6798.8,6.799,1
Stanshaw_2021-CASRF-000187,126,125,41.480096,-123.500766,36112.3,36.112,1
TELEPHONE_2021-CAKNF-005027,170,174,41.226913,-122.787717,32142.1,32.142,1
TEMPLIN_2021-CAANF-000022,985,351,34.553968,-118.665811,6157.4,6.157,1
TOOLBOX_2021-CABDF-016095,1126,512,33.615204,-116.662849,10994.0,10.994,1
Three__2021-CASRF-000205,139,126,41.371614,-123.44633,28522.3,28.522,1
Twain_2021-CAPNF-000486,340,278,40.011307,-121.07505,12464.4,12.464,1
VASQUEZ_2021-CAANF-002923,998,371,34.479361,-118.423625,13652.0,13.652,1
WALLOW_2021-CAKNF-005034,132,236,41.70447,-122.18347,10276.3,10.276,1
WEST_2021-CASNF-000781,653,329,37.408564,-119.671269,6674.5,6.675,1
WHITE_2021-CASHF-001242,172,130,41.099733,-123.292312,32823.2,32.823,1
