fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
2-5_2021-CASHU-004806,232,222,40.811457,-122.037909,6715.5,6.715,1
3_Mile__2021-CAPNF-001082,367,314,39.858922,-120.586607,7019.6,7.02,1
41_MILE_2021-CAENF-022081,493,321,38.782172,-120.167653,34621.5,34.622,0
ADAMS_2021-CAKNF-006495,178,156,41.113672,-122.971385,44297.5,44.298,0
ADOBE_2021-CAINF-001488,602,427,38.054988,-118.701434,46019.8,46.02,0
ALDER_2021-CASQF-002086,857,382,35.736255,-118.611301,5829.7,5.83,1
ALISAL__2021-CALPF-002759,958,220,34.520444,-120.128822,5510.4,5.51,1
ALOHA_2021-CAENF-013666,485,326,38.862457,-120.132133,39011.7,39.012,0
ALRAY_2021-CABDF-001347,1032,453,34.33682,-117.474894,13847.6,13.848,1
AL_2021-CATMU-019763,482,342,38.923067,-119.958898,41903.2,41.903,0
ANDERSON_2021-CATNF-000712,438,323,39.263649,-120.290776,22102.9,22.103,1
ANTELOPE_2021-CAKNF-006454,160,250,41.497453,-121.932323,28360.6,28.361,1
ANTELOPE_2021-CAMDF-000580,176,345,41.580265,-120.770279,15290.1,15.29,1
ANTELOPE_SINK_TENNANT_2021-CAKNF-003950,141,258,41.679906,-121.89728,29489.4,29.489,1
ANTONIO__2021-CAANF-002891,1040,433,34.229199,-117.672821,5222.0,5.222,1
APALACHEE_2021-CATMU-019709,484,339,38.899241,-119.987647,44204.3,44.204,0
ARNOT__2021-CASTF-001744,540,344,38.423384,-119.786769,24236.3,24.236,1
ASH_2021-CASHF-000295,183,242,41.28059,-121.955041,15361.3,15.361,1
ASPENS_2021-CAINF-001449,657,414,37.548625,-118.716454,29429.0,29.429,1
ASPEN_2021-CAENF-023616,491,328,38.814711,-120.093787,36864.4,36.864,0
ASPEN__2021-CASTF-000758,562,318,38.176536,-120.022507,2405.6,2.406,1
AUTUMN_2021-CABDF-017341,1113,511,33.728157,-116.697941,4881.9,4.882,1
Airport_2021-CAPNF-000482,350,287,39.945344,-120.943538,846.6,0.847,1
Antlers_2021-CASHF-000630,213,197,40.914477,-122.385812,4893.1,4.893,1
BACKBONE_2021-CANEU-019609,413,279,39.382475,-120.859209,6422.2,6.422,1
BAIRD_2021-CAKNF-006530,153,259,41.579085,-121.8485,33032.2,33.032,0
BAKER_2021-CALNF-002001,262,268,40.661516,-121.415678,8190.4,8.19,1
BAKER_2021-CATNF-000549,398,258,39.464563,-121.139929,6732.1,6.732,1
BALDY_2021-CAANF-003105,1046,432,34.174568,-117.671377,3058.4,3.058,1
BALD_2021-CASTF-001632,564,311,38.144072,-120.095808,7973.6,7.974,1
BALLY_2021-CAKNF-006369,95,194,41.918954,-122.794688,19487.8,19.488,1
BALL_2021-CAINF-001274,830,435,36.076432,-118.092589,15685.9,15.686,1
BALL__2021-CAANF-002492,991,358,34.515218,-118.577875,15362.9,15.363,1
BALSAM_2021-CASNF-000364,686,356,37.177415,-119.29171,6473.7,6.474,1
BALTIC_2021-CAENF-017625,493,290,38.714255,-120.517602,15942.2,15.942,1
