fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
1-3_Mccoy_2023-CALMU-003270,296,301,40.443783,-120.935629,13193.3,13.193,0
3-1_Day_2023-CALMU-004305,199,286,41.246482,-121.393168,21128.5,21.129,0
3-1_Egg_2023-CALMU-003234,195,296,41.304166,-121.2883,19327.2,19.327,0
3-3_2023-CASRF-000976,211,87,40.65703,-123.662725,22108.0,22.108,0
3-4_2023-CAHUU-008052,211,87,40.65703,-123.662725,22108.0,22.108,0
3-5_2023-CASRF-000975,215,90,40.630551,-123.615234,20565.2,20.565,0
3-5_Buck_2023-CALMU-004384,242,327,40.969286,-120.789067,16305.6,16.306,0
3-9_2023-CASRF-000972,215,93,40.638219,-123.580707,18857.6,18.858,0
330_2023-CABDF-011118,1058,475,34.148392,-117.187839,6812.7,6.813,1
6-1_2023-CATCU-011048,597,299,37.831491,-120.145449,3414.7,3.415,1
6-6_2023-CATCU-012071,598,294,37.81198,-120.198649,1888.4,1.888,1
Abbot_2023-CAKNF-008113,141,147,41.407727,-123.195263,33438.0,33.438,0
Adits_2023-CASQF-002240,876,384,35.573894,-118.547489,13972.0,13.972,0
Agua_2023-CAANF-232390,1004,379,34.442326,-118.325211,6246.8,6.247,1
Alder_2023-CAKNF-005006,90,165,41.889199,-123.151604,40149.2,40.149,0
Alpine_2023-CABDF-009210,1051,504,34.26244,-116.891175,1142.3,1.142,1
Alpine_2023-CASHF-000969,168,221,41.359054,-122.246421,5770.1,5.77,1
Alpine_2023-CASQF-001708,801,397,36.256011,-118.572817,24176.5,24.177,0
Alray_2023-CABDF-011889,1031,457,34.353021,-117.43405,12792.7,12.793,0
Andrews_2023-CAINF-001994,721,455,37.069912,-118.113782,15097.8,15.098,0
Anthony_2023-CAMNF-001204,316,114,39.826939,-123.021355,5237.6,5.238,1
Antlers_2023-CASHF-000837,217,197,40.880132,-122.373444,7113.8,7.114,1
Arnica_2023-CAMDF-000853,156,281,41.605253,-121.581363,22335.4,22.335,0
Ash_2023-CASHF-000681,174,243,41.360366,-121.971023,18896.6,18.897,0
Aspen_2023-CAENF-022284,493,329,38.799513,-120.077251,35033.8,35.034,0
Aspen_2023-CASTF-001532,562,323,38.187281,-119.966462,5845.5,5.845,1
Aubrey_2023-CAKNF-004323,93,145,41.812919,-123.376219,41175.2,41.175,0
Austin_2023-CATNF-000568,406,303,39.496781,-120.605114,11453.2,11.453,0
Avenales_2023-CALPF-002880,881,230,35.212769,-120.202416,6338.6,6.339,1
Backwards_2023-CASTF-000818,601,314,37.829024,-119.967968,3385.0,3.385,1
Badenaugh_2023-CATNF-000609,402,345,39.623874,-120.136447,16991.9,16.992,0
Baily_2023-CASQF-000609,723,362,36.867013,-119.137356,7270.1,7.27,1
Baker_2023-CASTF-001946,551,347,38.334115,-119.725074,29092.8,29.093,0
Baker_2023-CATNF-000321,398,258,39.464563,-121.139929,6732.1,6.732,1
Bald_2023-CASHF-000982,197,224,41.11714,-122.121692,6843.2,6.843,1
Bald_2023-CATNF-001280,403,310,39.538312,-120.533477,11572.3,11.572,0
Baldy_2023-CABDF-011408,1119,510,33.673448,-116.697274,7705.0,7.705,1
Ball_2023-CAKNF-007178,123,241,41.793832,-122.153029,20339.7,20.34,0
Ballarat_2023-CAAEU-023137,471,278,38.878214,-120.71212,9446.8,9.447,1
Ballarat_2023-CAENF-023155,471,278,38.878214,-120.71212,9446.8,9.447,1
Bar_2023-CASRF-000078,147,107,41.254721,-123.640877,9048.6,9.049,1
Bar_2023-CASTF-001950,568,299,38.083344,-120.219854,3267.2,3.267,1
Barker_2023-CATNF-001310,459,321,39.077158,-120.257465,22956.1,22.956,0
Barn_2023-CASTF-001984,553,333,38.286915,-119.877248,16705.2,16.705,0
Barn_2023-CATCU-007129,568,307,38.100685,-120.130322,7759.4,7.759,1
Barrett_2023-CAANF-233601,1041,434,34.222279,-117.660104,5281.2,5.281,1
Barton_2023-CABDF-007889,1061,501,34.168931,-116.903939,5902.7,5.903,1
Basin_2023-CASRF-001038,288,94,40.016631,-123.336603,17969.6,17.97,0
Bass_2023-CAMMU-026739,665,335,37.316694,-119.575265,5485.1,5.485,1
Battle_2023-CALNF-005206,265,251,40.59601,-121.603432,18766.7,18.767,0
Battle_2023-CAMDF-000290,137,310,41.836643,-121.298132,23210.8,23.211,0
Baxter_2023-CATCU-016553,567,286,38.063684,-120.367862,3957.1,3.957,1
Beach_2023-CAINF-000389,610,397,37.924389,-119.018324,19944.4,19.944,0
Bean_2023-CASHF-000582,257,122,40.352313,-123.11354,14157.0,14.157,0
Bear_2023-CAANF-002607,966,343,34.704489,-118.792855,7338.0,7.338,1
Bear_2023-CACNF-002771,1217,509,32.806301,-116.526459,9193.8,9.194,1
Bear_2023-CAENF-020118,517,308,38.545609,-120.251365,18507.4,18.507,0
Bear_2023-CAENF-025998,518,308,38.536931,-120.248748,17956.1,17.956,0
