strategy_combo,scenario_name,date,sim_start_hour,log_key,offset,cluster,year,routing_compute_seconds,sim_replay_seconds,delta_t,device,fire_size_cells,fire_size_percentage,total_distance_traveled,percentage_map_explored,routed
GaussianBudget500M_TOPGrowing,Canyon_2024-CACNF-000183,20240207,4,pyrologix,12,245-106,2024,0.0,0.0,1,drone,1,9.489961992702219e-05,5065,0.004175583276788976,True
GaussianBudget500M_TOPGrowing,Desert_2024-CACNF-000097,20240116,19,pyrologix,2,245-106,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,935,0.003226587077518755,True
GaussianBudget500M_TOPGrowing,Indian_2024-CAANF-242599,20240725,18,pyrologix,2,199-74,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,1025,0.004365382516643021,True
GaussianBudget500M_TOPGrowing,Kellogg_2024-CAMDF-000377,20240714,0,pyrologix,1,27-69,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,710,0.003985784036934932,True
GaussianBudget500M_TOPGrowing,Lac_-_Soledad_2024-CAANF-243141,20240826,17,pyrologix,7,199-74,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,2840,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,Picnic_2024-CACNF-002561,20241107,15,pyrologix,12,245-106,2024,0.0,0.0,1,drone,1,9.489961992702219e-05,5030,0.004175583276788976,True
GaussianBudget500M_TOPGrowing,Pit_2024-CALPF-002505,20241002,22,pyrologix,9,191-61,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,3725,0.0046500813764240876,True
GaussianBudget500M_TOPGrowing,Power_2024-CASQF-001097,20240703,0,pyrologix,1,177-71,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,435,0.003511285937299821,True
GaussianBudget500M_TOPGrowing,Rancheria_2024-CACNF-002722,20241201,15,pyrologix,3,245-106,2024,0.0,0.0,3,drone,1,9.489961992702219e-05,2415,0.003511285937299821,True
GaussianBudget500M_TOPGrowing,Stead_2024-CAMDF-000982,20240920,21,pyrologix,1,27-69,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,650,0.003985784036934932,True
GaussianBudget500M_TOPGrowing,Sunshine_2024-CAANF-244639,20241222,2,pyrologix,5,199-74,2024,0.0,0.0,0,drone,1,9.489961992702219e-05,2050,0.0046500813764240876,True
