strategy_combo,scenario_name,date,sim_start_hour,log_key,offset,cluster,year,routing_compute_seconds,sim_replay_seconds,delta_t,device,fire_size_cells,fire_size_percentage,total_distance_traveled,percentage_map_explored,routed
GaussianBudget500M_TOPGrowing,Gleason_2023-CAANF-232639,20230809,11,pyrologix,12,201-81,2023,0.0,0.0,0,drone,1,9.489961992702219e-05,4880,0.0037010851771538656,True
GaussianBudget500M_TOPGrowing,Janes_2023-CAMDF-000177,20230522,18,pyrologix,4,27-69,2023,0.0,0.0,0,drone,1,9.489961992702219e-05,1560,0.0040806836568619545,True
GaussianBudget500M_TOPGrowing,Sand_2023-CAANF-002373,20230724,21,pyrologix,2,199-74,2023,0.0,0.0,0,drone,1,9.489961992702219e-05,1025,0.004365382516643021,True
GaussianBudget500M_TOPGrowing,Stock_2023-CAMDF-000937,20230919,17,pyrologix,10,27-69,2023,0.0,0.0,0,drone,1,9.489961992702219e-05,4115,0.004175583276788976,True
GaussianBudget500M_TOPGrowing,Sulphur_2_2023-CAINF-001392,20230818,22,pyrologix,9,118-81,2023,0.0,0.0,1,drone,1,9.489961992702219e-05,4155,0.004460282136570043,True
GaussianBudget500M_TOPGrowing,Work_2023-CAANF-002022,20230705,2,pyrologix,7,199-74,2023,0.0,0.0,0,drone,1,9.489961992702219e-05,2840,0.0046500813764240876,True
