strategy_combo,scenario_name,date,sim_start_hour,log_key,offset,cluster,year,routing_compute_seconds,sim_replay_seconds,delta_t,device,fire_size_cells,fire_size_percentage,total_distance_traveled,percentage_map_explored,routed
GaussianBudget500M_TOPGrowing,ALISO_2022-CAANF-003283,20221007,0,pyrologix,4,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,BAILEY_2022-CAANF-002320,20220721,13,pyrologix,12,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,BEN_2022-CAANF-003339,20221013,16,pyrologix,3,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,BIG_2022-CAANF-000779,20220325,21,pyrologix,8,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,BRYANT_2022-CAANF-003714,20221130,1,pyrologix,1,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,CHASE_2022-CACNF-001567,20220705,13,pyrologix,12,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,CROSSING__2022-CAANF-003539,20221106,18,pyrologix,4,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,DELTA_2022-CAANF-002969,20220905,22,pyrologix,2,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,DELTA_2022-CALAC-302214,20220905,17,pyrologix,12,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,DEXTER_2022-CAANF-002403,20220725,15,pyrologix,5,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,DILLON__2022-CAANF-000675,20220314,1,pyrologix,6,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,DIVIDE__2022-CAANF-002093,20220706,23,pyrologix,7,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,DUNES_2022-CAINF-001495,20220717,13,pyrologix,11,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,FA_BC22_2022-CACNF-002548,20221026,16,pyrologix,9,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,GLEASON__2022-CAANF-001044,20220417,17,pyrologix,11,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,GOLD_2022-CAANF-000425,20220216,13,pyrologix,7,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,HAGADOR_2022-CACNF-001355,20220619,15,pyrologix,10,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,KAGEL_2022-CAANF-003199,20220928,19,pyrologix,3,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,KITCHEN__018_2022-CACNF-001552,20220704,21,pyrologix,7,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,LAC-382748_2022-CALAC-382748,20221110,12,pyrologix,11,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,LONGEST_2022-CABTU-015806,20220901,20,pyrologix,4,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,MAPLE_1_2022-CACNF-001291,20220614,11,pyrologix,11,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,MAPLE_2022-CAORC-076966,20220614,16,pyrologix,1,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,MAPLE_2_2022-CACNF-001295,20220614,11,pyrologix,11,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,MAPLE_3_2022-CACNF-001296,20220614,14,pyrologix,5,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,MEYER_2022-CABDF-012989,20220907,20,pyrologix,12,none,2022,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
