strategy_combo,scenario_name,date,sim_start_hour,log_key,offset,cluster,year,routing_compute_seconds,sim_replay_seconds,delta_t,device,fire_size_cells,fire_size_percentage,total_distance_traveled,percentage_map_explored,routed
GaussianBudget500M_TOPGrowing,ADOBE_2021-CAINF-001488,20210701,12,pyrologix,8,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,BEDFORD_2021-CACNF-001343,20210515,3,pyrologix,5,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,Beek_2021-CACNF-000008,20210101,18,pyrologix,2,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,CALI_2021-CAANF-002044,20210616,20,pyrologix,11,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,Creek_2021-CACNF-003652,20211221,17,pyrologix,7,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,DAM_2021-CAANF-004298,20211204,18,pyrologix,10,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,GRAVEYARD_2021-CAANF-002217,20210626,7,pyrologix,11,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,HIDDEN__2021-CAANF-003478,20210913,5,pyrologix,1,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,HORSE__2021-CAANF-003639,20210928,2,pyrologix,12,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,Honey_2021-CACNF-002374,20210724,17,pyrologix,11,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,INTERSECTION_2021-CAANF-003983,20211031,19,pyrologix,4,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,Kitchen_2021-CACNF-001839,20210621,3,pyrologix,2,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,LOMA__2021-CAANF-002264,20210628,0,pyrologix,8,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,LOPEZ_2021-CAANF-004215,20211125,14,pyrologix,12,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,Love_2021-CACNF-001437,20210523,17,pyrologix,12,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,MILE__2021-CAANF-003581,20210922,3,pyrologix,1,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,PLACERITA__2021-CAANF-002048,20210616,16,pyrologix,3,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,Posta_2021-CACNF-003171,20211015,22,pyrologix,3,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,RANGE_2021-CAANF-001989,20210613,10,pyrologix,12,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,SANTA_2021-CAANF-004490,20211230,20,pyrologix,7,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,SHOENING_2021-CAANF-004214,20211125,13,pyrologix,11,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,SHOOTING_2021-CAANF-001423,20210508,14,pyrologix,7,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,SOLEDAD_2021-CAANF-001926,20210609,18,pyrologix,9,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,SPOT_2021-CAANF-000571,20210222,5,pyrologix,4,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,STARLIGHT_2021-CAANF-004192,20211123,4,pyrologix,5,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,TUJUNGA__2021-CAANF-002494,20210709,13,pyrologix,2,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,TURNOUT_2021-CAANF-003853,20211017,16,pyrologix,7,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,VOGEL_2021-CAANF-003688,20211003,2,pyrologix,11,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
GaussianBudget500M_TOPGrowing,WARMING__2021-CAANF-001210,20210419,21,pyrologix,10,none,2021,0.0,0.0,-1,undetected,1,9.489961992702219e-05,0,0.0,False
